Date,Station,pH,DO,BOD,Turbidity,Temperature,WQI
2024-03-15,Station A,8.13,9.74,4.94,7.78,25.64,54.18
2024-03-16,Station A,8.05,7.79,2.7,9.16,21.67,74.63
2024-03-17,Station A,6.52,7.34,1.23,2.07,21.76,82.46
2024-03-18,Station A,7.99,7.92,4.85,4.37,24.29,93.43
2024-03-19,Station A,6.95,9.82,1.05,9.73,20.65,94.56
2024-03-20,Station A,7.56,9.96,1.3,5.98,34.54,76.15
2024-03-21,Station A,7.76,8.48,2.82,6.65,28.76,95.06
2024-03-22,Station A,6.59,6.4,4.8,9.01,26.83,81.01
2024-03-23,Station A,7.05,5.94,2.85,4.18,28.75,53.89
2024-03-24,Station A,8.45,9.93,3.79,5.82,24.64,90.69
2024-03-25,Station A,7.87,5.81,4.64,8.4,34.25,86.29
2024-03-26,Station A,7.73,7.09,4.73,8.79,20.68,51.32
2024-03-27,Station A,7.25,9.05,4.95,2.35,28.91,69.04
2024-03-28,Station A,8.44,9.21,4.35,5.22,26.22,63.67
2024-03-29,Station A,6.61,9.32,4.25,10.0,34.95,77.77
2024-03-30,Station A,8.04,9.72,4.4,3.23,26.76,56.46
2024-03-31,Station A,8.41,8.03,1.91,7.05,29.27,67.91
2024-04-01,Station A,6.73,8.36,3.08,7.95,27.8,92.61
2024-04-02,Station A,7.6,7.8,4.51,4.63,22.01,51.44
2024-04-03,Station A,8.01,8.1,3.82,2.92,22.05,50.73
2024-04-04,Station A,7.2,7.95,2.57,4.94,33.56,67.41
2024-04-05,Station A,7.53,8.92,2.59,6.6,32.94,97.48
2024-04-06,Station A,6.79,9.63,2.97,3.32,26.89,99.0
2024-04-07,Station A,7.49,6.64,3.53,3.16,21.14,56.44
2024-04-08,Station A,6.76,5.76,1.56,6.77,22.73,67.28
2024-04-09,Station A,8.29,7.37,3.67,2.55,22.88,52.04
2024-01-01,Station B,6.84,6.39,1.71,1.8,21.81,73.04
2024-01-02,Station B,6.91,6.82,3.01,7.21,20.59,89.97
2024-01-03,Station B,7.76,5.41,4.49,9.29,20.92,63.84
2024-01-04,Station B,8.11,8.74,1.74,2.88,25.56,74.23
2024-01-05,Station B,7.74,6.84,2.85,7.73,20.55,62.62
2024-01-06,Station B,7.93,9.48,3.05,5.79,21.61,72.37
2024-01-07,Station B,7.57,6.21,2.08,4.4,20.3,66.1
2024-01-08,Station B,6.92,6.64,1.48,9.01,28.9,83.96
2024-01-09,Station B,8.08,7.49,1.35,5.83,28.8,87.27
2024-01-10,Station B,7.36,5.64,2.14,4.27,29.69,78.54
2024-01-11,Station B,7.21,9.93,3.42,3.14,21.53,57.64
2024-01-12,Station B,6.99,5.8,1.75,3.57,22.6,94.84
2024-01-13,Station B,6.66,7.62,2.64,9.84,21.68,69.89
2024-01-14,Station B,8.44,9.33,4.27,3.32,22.56,83.43
2024-01-15,Station B,8.36,7.78,3.29,3.52,31.54,59.35
2024-01-16,Station B,7.15,7.13,3.03,3.18,21.72,80.53
2024-01-17,Station B,7.08,7.91,1.62,5.33,27.99,52.59
2024-01-18,Station B,7.17,5.67,1.25,9.91,24.84,90.49
2024-01-19,Station B,7.01,8.41,4.04,6.36,27.07,70.59
2024-01-20,Station B,7.2,9.65,4.32,9.69,21.86,86.54
2024-01-21,Station B,8.38,5.91,1.27,7.67,28.62,92.09
2024-01-22,Station B,6.78,8.98,1.81,2.47,22.46,90.73
2024-01-23,Station B,7.83,7.62,2.44,8.89,25.89,90.83
2024-01-24,Station B,7.38,6.88,2.85,3.71,31.21,75.14
2024-01-25,Station B,6.96,9.5,2.54,5.89,33.6,81.21
2024-01-26,Station B,6.73,9.7,3.51,4.01,22.09,89.7
2024-01-27,Station B,7.74,7.67,4.58,8.1,22.28,65.59
2024-01-28,Station B,7.0,8.72,1.13,6.13,31.44,93.84
2024-01-29,Station B,7.18,9.11,1.44,8.62,21.91,69.86
2024-01-30,Station B,8.09,5.75,1.92,7.5,30.8,82.06
2024-01-31,Station B,7.89,7.71,2.01,4.11,22.72,95.42
2024-02-01,Station B,7.67,7.0,2.85,9.53,22.3,79.31
2024-02-02,Station B,7.51,8.06,1.07,8.85,33.98,78.26
2024-02-03,Station B,7.89,9.61,3.83,2.37,28.64,80.34
2024-02-04,Station B,7.35,8.68,4.74,9.33,26.76,55.66
2024-02-05,Station B,8.47,9.19,1.5,9.29,33.05,75.94
2024-02-06,Station B,7.68,7.0,1.22,4.02,32.04,50.23
2024-02-07,Station B,7.17,6.99,3.15,9.28,25.2,67.35
2024-02-08,Station B,7.98,7.26,1.9,5.07,22.11,58.82
2024-02-09,Station B,7.5,7.09,4.66,4.26,28.71,81.61
2024-02-10,Station B,6.53,8.32,1.71,9.65,22.23,70.73
2024-02-11,Station B,6.67,9.98,3.01,6.36,21.01,87.5
2024-02-12,Station B,6.92,9.49,1.82,2.72,20.55,73.6
2024-02-13,Station B,7.63,5.33,4.1,5.08,27.87,72.04
2024-02-14,Station B,7.3,7.8,1.62,2.64,32.93,97.31
2024-02-15,Station B,7.25,6.35,3.58,4.68,20.38,57.81
2024-02-16,Station B,7.93,8.29,1.11,3.0,23.47,83.59
2024-02-17,Station B,6.54,5.52,4.2,2.61,29.79,61.91
2024-02-18,Station B,6.7,6.22,3.89,8.7,32.45,69.86
2024-02-19,Station B,7.84,6.02,2.17,9.07,20.2,54.28
2024-02-20,Station B,6.92,5.13,1.73,6.25,26.32,94.63
2024-02-21,Station B,8.13,6.71,2.04,4.42,28.85,63.4
2024-02-22,Station B,7.75,7.05,3.21,4.93,24.42,97.42
2024-02-23,Station B,8.03,5.7,4.47,5.39,33.42,89.99
2024-02-24,Station B,7.35,5.11,2.07,5.87,29.5,62.89
2024-02-25,Station B,6.78,9.17,4.94,5.73,22.58,63.62
2024-02-26,Station B,6.54,9.57,1.47,6.19,24.11,77.71
2024-02-27,Station B,7.8,9.15,1.83,1.1,22.05,95.0
2024-02-28,Station B,8.25,7.99,3.4,6.99,22.63,95.72
2024-02-29,Station B,7.34,6.92,3.08,1.42,22.49,86.9
2024-03-01,Station B,6.67,8.02,1.98,4.5,24.33,67.78
2024-03-02,Station B,7.94,6.49,3.27,5.28,29.96,96.84
2024-03-03,Station B,7.97,6.07,1.12,3.36,28.93,52.57
2024-03-04,Station B,7.49,7.98,2.34,7.94,21.6,53.76
2024-03-05,Station B,7.96,7.48,3.75,4.91,23.7,90.96
2024-03-06,Station B,8.1,8.47,2.09,6.31,25.41,54.58
2024-03-07,Station B,8.33,5.68,4.8,5.01,22.78,77.1
2024-03-08,Station B,8.25,8.66,4.23,6.93,30.38,92.46
2024-03-09,Station B,7.0,7.45,1.88,9.89,34.16,51.97
2024-03-10,Station B,7.91,9.63,1.72,6.11,33.73,51.7
2024-03-11,Station B,7.89,6.49,4.7,9.74,34.16,73.71
2024-03-12,Station B,8.22,9.22,2.28,8.46,20.56,79.81
2024-03-13,Station B,6.96,5.6,1.31,7.27,25.1,86.24
2024-03-14,Station B,6.63,6.58,3.16,8.12,24.78,81.29
2024-03-15,Station B,8.27,8.08,1.93,1.22,33.05,51.06
2024-03-16,Station B,8.25,7.64,4.76,8.19,34.97,67.54
2024-03-17,Station B,8.03,7.01,2.92,6.65,33.11,99.2
2024-03-18,Station B,8.04,7.09,2.69,7.64,23.58,55.52
2024-03-19,Station B,7.21,6.44,2.19,3.1,20.63,50.89
2024-03-20,Station B,8.48,7.14,2.54,7.12,23.27,97.5
2024-03-21,Station B,8.07,5.45,2.67,8.91,34.17,73.37
2024-03-22,Station B,7.73,5.84,4.96,3.09,34.14,82.48
2024-03-23,Station B,7.72,7.56,1.92,2.59,23.31,59.32
2024-03-24,Station B,8.06,6.75,1.23,9.72,33.26,96.39
2024-03-25,Station B,8.49,5.87,2.58,7.82,30.44,57.69
2024-03-26,Station B,8.13,6.12,1.9,5.83,28.89,79.0
2024-03-27,Station B,6.68,9.39,2.06,2.17,33.33,97.78
2024-03-28,Station B,8.22,9.05,3.62,5.96,21.3,70.42
2024-03-29,Station B,7.25,6.3,3.89,5.46,21.22,61.01
2024-03-30,Station B,7.87,5.38,4.4,5.46,27.21,79.62
2024-03-31,Station B,8.15,6.74,3.71,6.09,24.01,93.93
2024-04-01,Station B,8.09,8.29,4.4,8.81,30.63,91.85
2024-04-02,Station B,7.89,8.4,3.47,7.77,22.38,94.04
2024-04-03,Station B,8.24,5.15,4.3,2.16,25.03,87.18
2024-04-04,Station B,6.82,9.09,4.33,5.57,20.1,64.35
2024-04-05,Station B,7.73,9.91,3.53,3.34,29.51,77.0
2024-04-06,Station B,8.06,5.53,4.04,5.87,34.44,67.09
2024-04-07,Station B,7.77,9.66,1.41,9.44,30.32,53.39
2024-04-08,Station B,7.1,8.54,1.27,6.24,25.19,81.05
2024-04-09,Station B,6.59,9.36,4.89,9.72,31.24,56.5
2024-01-01,Station C,8.02,5.12,1.09,3.91,27.33,88.52
2024-01-02,Station C,7.87,7.23,2.09,9.97,26.39,72.57
2024-01-03,Station C,6.83,8.97,3.77,2.99,21.24,84.02
2024-01-04,Station C,7.81,6.37,4.8,2.36,26.49,97.18
2024-01-05,Station C,7.34,8.19,2.59,3.47,34.76,70.47
2024-01-06,Station C,8.29,6.15,1.85,1.28,29.78,68.43
2024-01-07,Station C,8.23,7.37,4.87,2.67,33.03,88.83
2024-01-08,Station C,8.04,9.22,4.04,6.64,21.97,51.63
2024-01-09,Station C,8.34,8.08,4.19,5.33,21.76,56.26
2024-01-10,Station C,7.87,7.15,1.8,5.42,20.96,79.1
2024-01-11,Station C,7.04,8.99,2.24,5.1,20.17,53.62
2024-01-12,Station C,7.28,7.4,3.4,3.62,30.42,93.01
2024-01-13,Station C,8.06,5.2,2.92,1.94,23.63,99.33
2024-01-14,Station C,6.78,7.49,3.47,7.32,28.39,50.49
2024-01-15,Station C,7.15,7.59,1.35,4.16,20.5,53.93
2024-01-16,Station C,7.29,5.66,3.27,7.21,32.01,60.01
2024-01-17,Station C,6.83,5.52,3.55,7.36,20.47,96.81
2024-01-18,Station C,6.6,7.71,3.84,8.84,30.71,90.09
2024-01-19,Station C,7.18,9.07,1.32,9.05,28.21,90.86
2024-01-20,Station C,7.4,8.22,3.11,7.58,21.22,53.02
2024-01-21,Station C,6.99,5.8,4.49,2.97,34.64,66.84
2024-01-22,Station C,6.86,8.95,3.63,5.48,28.33,85.96
2024-01-23,Station C,6.96,9.98,4.9,6.85,22.99,84.01
2024-01-24,Station C,6.64,5.15,2.03,5.16,33.02,86.36
2024-01-25,Station C,7.99,7.13,2.38,4.34,34.81,52.01
2024-01-26,Station C,8.23,7.89,2.75,7.53,27.3,93.67
2024-01-27,Station C,8.3,7.11,2.11,6.33,33.69,60.53
2024-01-28,Station C,7.75,8.16,3.93,2.18,30.74,95.45
2024-01-29,Station C,6.86,6.19,4.89,2.63,32.82,74.61
2024-01-30,Station C,6.99,9.35,2.78,5.63,25.39,79.65
2024-01-31,Station C,6.83,6.96,4.88,3.32,29.85,66.26
2024-02-01,Station C,8.05,5.65,4.88,5.08,23.54,53.67
2024-02-02,Station C,6.84,7.6,2.35,8.46,26.46,62.44
2024-02-03,Station C,7.73,8.53,1.67,2.51,20.55,86.82
2024-02-04,Station C,7.83,7.37,4.38,8.25,28.78,93.41
2024-02-05,Station C,6.91,5.56,2.08,1.51,27.97,96.83
2024-02-06,Station C,6.58,5.61,2.81,9.4,24.74,75.36
2024-02-07,Station C,6.58,5.74,4.95,9.69,20.07,97.59
2024-02-08,Station C,7.78,9.34,2.82,5.64,27.33,83.34
2024-02-09,Station C,6.78,5.15,2.23,7.34,23.03,83.67
2024-02-10,Station C,8.44,5.47,3.69,4.99,33.02,58.86
2024-02-11,Station C,7.89,9.19,4.78,7.15,27.46,80.89
2024-02-12,Station C,8.24,7.85,1.12,9.38,30.34,83.83
2024-02-13,Station C,6.93,8.29,2.58,6.86,21.6,82.89
2024-02-14,Station C,8.5,5.24,4.91,4.66,33.06,89.12
2024-02-15,Station C,7.63,8.69,4.51,4.64,24.91,83.38
2024-02-16,Station C,8.12,8.81,4.19,4.92,32.27,56.01
2024-02-17,Station C,7.59,5.03,2.3,4.3,25.94,84.77
2024-02-18,Station C,7.28,7.24,1.95,4.36,23.41,53.66
2024-02-19,Station C,7.71,8.34,3.48,5.17,25.7,93.17
2024-02-20,Station C,7.54,7.4,1.1,4.07,25.7,69.94
2024-02-21,Station C,7.66,7.67,3.43,7.88,32.19,85.91
2024-02-22,Station C,8.41,5.09,1.78,1.07,29.71,94.9
2024-02-23,Station C,6.99,9.64,1.24,9.41,25.27,55.07
2024-02-24,Station C,7.47,6.28,2.14,3.77,32.05,76.96
2024-02-25,Station C,7.12,8.05,3.86,3.45,26.2,56.09
2024-02-26,Station C,6.86,8.41,1.73,5.73,30.64,55.34
2024-02-27,Station C,7.63,6.28,4.85,5.35,32.09,77.51
2024-02-28,Station C,6.59,8.17,4.81,6.41,32.29,94.21
2024-02-29,Station C,6.96,6.06,3.44,4.7,32.6,95.0
2024-03-01,Station C,7.21,6.18,4.12,3.47,32.34,71.19
2024-03-02,Station C,7.84,5.48,3.5,5.07,28.8,58.4
2024-03-03,Station C,7.97,9.31,1.87,1.86,20.35,82.1
2024-03-04,Station C,7.71,7.73,1.93,4.52,28.92,74.84
2024-03-05,Station C,8.48,5.68,3.78,4.64,26.42,85.88
2024-03-06,Station C,7.88,9.96,1.51,1.94,30.87,78.92
2024-03-07,Station C,7.05,5.4,1.34,9.05,22.88,66.17
2024-03-08,Station C,6.95,6.77,1.28,5.67,21.01,90.02
2024-03-09,Station C,6.97,7.7,4.52,6.86,27.99,66.22
2024-03-10,Station C,7.17,8.35,4.98,6.96,28.37,86.53
2024-03-11,Station C,7.43,5.3,3.25,9.62,22.63,84.5
2024-03-12,Station C,6.9,7.68,1.39,5.05,31.34,67.38
2024-03-13,Station C,7.83,8.98,4.71,3.11,25.99,57.62
2024-03-14,Station C,8.48,9.64,3.16,8.58,27.81,81.18
2024-03-15,Station C,6.68,8.78,1.51,8.43,31.73,85.44
2024-03-16,Station C,6.57,6.52,2.05,4.24,21.31,96.85
2024-03-17,Station C,7.61,6.53,2.59,5.02,29.01,75.78
2024-03-18,Station C,8.34,7.48,4.97,8.66,23.13,96.53
2024-03-19,Station C,6.73,9.09,2.52,8.9,33.02,90.3
2024-03-20,Station C,8.08,6.52,1.32,4.63,22.6,84.75
2024-03-21,Station C,7.19,9.88,3.56,8.4,21.99,93.1
2024-03-22,Station C,8.35,7.44,3.43,7.88,22.62,75.13
2024-03-23,Station C,7.3,5.73,2.47,1.61,20.39,56.76
2024-03-24,Station C,8.43,7.75,4.86,4.89,24.68,75.31
2024-03-25,Station C,7.38,5.53,3.56,2.94,29.29,82.51
2024-03-26,Station C,6.8,5.31,4.12,5.14,20.87,99.74
2024-03-27,Station C,6.62,8.48,4.93,3.15,22.13,56.07
2024-03-28,Station C,7.11,5.51,3.77,1.56,27.64,99.83
2024-03-29,Station C,8.13,8.08,2.23,6.62,27.91,71.3
2024-03-30,Station C,6.76,9.43,2.8,2.75,25.52,70.71
2024-03-31,Station C,8.16,8.67,4.08,1.1,26.24,74.07
2024-04-01,Station C,6.54,6.3,4.04,2.23,28.03,60.76
2024-04-02,Station C,6.52,6.21,4.9,8.21,34.39,74.39
2024-04-03,Station C,6.72,7.74,2.82,8.6,21.47,74.41
2024-04-04,Station C,6.8,6.62,3.95,5.28,25.64,69.72
2024-04-05,Station C,7.42,8.93,4.57,9.6,31.8,65.77
2024-04-06,Station C,7.88,7.19,2.02,8.57,20.58,95.09
2024-04-07,Station C,7.42,8.19,3.64,9.06,29.55,80.7
2024-04-08,Station C,6.63,7.59,1.6,7.64,27.68,84.01
2024-04-09,Station C,6.58,5.42,3.87,1.65,21.07,50.61
